Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
ALFA ROMEO,156 Saloon 2002 MY Range,2.0 JTS,M5,1970,Petrol,12.2,6.6,8.6,23.2,42.8,32.8,205,599,IV,72.5,0.459,,0.078,0.050,
ALFA ROMEO,156 Saloon 2002 MY Range,2.0 JTS Selespeed,SAT5,1970,Petrol,12.2,6.6,8.6,23.2,42.8,32.8,205,599,IV,72.5,0.459,,0.078,0.050,
ALFA ROMEO,156 Sportwagon 2002 MY Range,2.0 JTS,M5,1970,Petrol,12.5,6.8,8.9,22.6,41.5,31.7,212,620,IV,72.5,0.459,,0.078,0.050,
ALFA ROMEO,156 Sportwagon 2002 MY Range,2.0 JTS Selespeed,SAT5,1970,Petrol,12.5,6.8,8.9,22.6,41.5,31.7,212,620,IV,72.5,0.459,,0.078,0.050,
AUDI,"Audi A2 (Standard, SE & Sport)",1.4 (75 bhp),M5,1390,Petrol,8.3,4.8,6.1,34.0,58.9,46.3,146,424,IV,71.0,0.258,,0.068,0.025,
AUDI,"Audi A3 (3 & 5 door, Standard, SE & Sport)",1.6 (102 bhp),M5,1595,Petrol,9.9,5.5,7.1,28.5,51.4,39.8,170,493,IV,73.0,0.718,,0.053,0.039,
AUDI,"Audi A3 (3 & 5 door, Standard, SE & Sport)",1.6 (102 bhp),A4,1595,Petrol,11.4,6.3,8.1,24.8,44.8,34.9,194,563,IV,71.0,0.480,,0.058,0.044,
AUDI,"Audi A3 (3 & 5 door, Standard, SE & Sport)",1.8T (150 bhp),M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,556,IV,71.0,0.631,,0.065,0.038,
AUDI,"Audi A3 (3 & 5 door, Standard, SE & Sport)",1.8T (150 bhp),A4,1781,Petrol,12.9,7.0,9.1,21.9,40.4,31.0,218,634,IV,70.0,0.775,,0.051,0.026,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.6 (102 bhp),M5,1595,Petrol,10.9,6.1,7.8,25.9,46.3,36.2,187,543,IV,73.0,0.404,,0.047,0.023,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.8T (150 bhp),M5,1781,Petrol,11.4,6.5,8.3,24.8,43.5,34.0,199,578,IV,71.0,0.408,,0.026,0.025,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.8T Quattro (150 bhp),QM5,1781,Petrol,12.6,7.3,9.3,22.4,38.7,30.4,223,646,IV,73.0,0.458,,0.025,0.023,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",1.8T (150 bhp) multitronic,AV,1781,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,202,584,IV,74.0,0.617,,0.058,0.049,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",2.0 (130 bhp),M5,1984,Petrol,11.6,6.1,8.1,24.4,46.3,34.9,194,563,IV,73.0,0.682,,0.068,0.044,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",2.0 Multitronic (130 bhp),AV,1984,Petrol,11.0,6.3,8.0,25.7,44.8,35.3,192,556,IV,72.0,0.705,,0.088,0.038,
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",3.0 V6 Quattro (220 bhp),QM5,2976,Petrol,15.0,8.1,10.6,18.8,34.9,26.6,254,738,IV,72.0,0.451,,0.036,0.052
AUDI,"Audi A4 Saloon (Standard, SE & Sport)",3.0 V6 Quattro Tiptronic (220 bhp),QA5,2976,Petrol,16.1,7.9,10.9,17.5,35.8,25.9,262,758,IV,74.0,0.507,,0.056,0.064
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.8T (150 bhp),M5,1781,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,202,584,IV,71.0,0.408,,0.026,0.025
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",1.8T Multitronic (150 bhp),AV,1781,Petrol,11.5,6.6,8.4,24.6,42.8,33.6,202,584,IV,74.0,0.617,,0.058,0.049
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.0 (130 bhp),M5,1984,Petrol,11.6,6.1,8.1,24.4,46.3,34.9,194,563,IV,73.0,0.682,,0.068,0.044
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",2.0 Multitronic (130 bhp),AV,1984,Petrol,11.0,6.3,8.0,25.7,44.8,35.3,192,556,IV,72.0,0.705,,0.088,0.038
AUDI,"Audi A4 Avant  (Standard, SE & Sport)",3.0 V6 Quattro Tiptronic (220 bhp),QA5,2976,Petrol,16.1,7.9,10.9,17.5,35.8,25.9,262,758,IV,74.0,0.507,,0.056,0.064
AUDI,"A6 Saloon  (Standard, SE & Sport)",1.8T 20v (150 bhp),M5,1781,Petrol,11.6,6.8,8.6,24.4,41.5,32.8,206,599,IV,72.0,0.350,,0.032,0.037
AUDI,"A6 Saloon  (Standard, SE & Sport)",1.8T 20v Multitronic (150 bhp),AV,1781,Petrol,11.9,6.9,8.7,23.7,40.9,32.5,209,604,IV,72.0,0.496,,0.053,0.040
AUDI,"A6 Saloon  (Standard, SE & Sport)",1.8T 20v Quattro (150 bhp),QM5,1781,Petrol,12.8,7.6,9.6,22.1,37.2,29.4,230,668,IV,74.0,0.420,,0.042,0.040
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.0 (130 bhp),M5,1984,Petrol,11.9,6.5,8.4,23.7,43.5,33.6,202,584,IV,74.0,0.560,,0.073,0.036
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.0 (130 bhp),AV,1984,Petrol,11.4,6.8,8.5,24.8,41.5,33.2,204,592,IV,74.0,0.462,,0.080,0.035
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.4 V6 (170 bhp),M5,2393,Petrol,14.1,7.6,10.0,20.0,37.2,28.2,240,696,IV,72.0,0.229,,0.047,0.036
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.4 V6 Multitronic (170 bhp),AV,2393,Petrol,14.3,7.1,9.7,19.8,39.8,29.1,233,675,IV,73.0,0.274,,0.050,0.035
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.4 V6 Quattro (170 bhp),QM5,2393,Petrol,15.3,8.4,11.0,18.5,33.6,25.7,264,764,IV,73.0,0.257,,0.044,0.026
AUDI,"A6 Saloon  (Standard, SE & Sport)",2.4 V6 Quattro Tiptronic (170 bhp),QA5,2393,Petrol,16.3,8.2,11.3,17.3,34.4,25.0,271,786,IV,73.0,0.184,,0.049,0.037
AUDI,A6 Saloon  (SE & Sport),3.0 V6 Quattro (220 bhp),QM6,2976,Petrol,16.1,8.7,11.4,17.5,32.5,24.8,274,792,IV,74.0,0.508,,0.032,0.028
AUDI,A6 Saloon  (SE & Sport),4.2 V8 Sport & Quattro (300 bhp),QA5,4172,Petrol,19.5,9.5,13.1,14.6,29.7,21.6,314,909,IV,74.0,0.419,,0.058,0.038
AUDI,A6 Saloon  (SE & Sport),3.0 V6 Quattro Tiptronic (220 bhp),QA5,2976,Petrol,16.6,8.4,11.4,17.0,33.6,24.8,274,792,IV,73.0,0.348,,0.035,0.047
AUDI,"A6 Avant  (Standard, SE & Sport)",1.8T 20v (150 bhp),M5,1781,Petrol,11.6,6.8,8.6,24.4,41.5,32.8,206,599,IV,72.0,0.350,,0.032,0.037
AUDI,"A6 Avant  (Standard, SE & Sport)",1.8T 20v Multitronic (150 bhp),AV,1781,Petrol,11.9,6.9,8.7,23.7,40.9,32.5,209,604,IV,72.0,0.496,,0.053,0.040
AUDI,"A6 Avant  (Standard, SE & Sport)",1.8T 20v Quattro (150 bhp),QM5,1781,Petrol,12.8,7.6,9.6,22.1,37.2,29.4,230,668,IV,74.0,0.420,,0.042,0.040
AUDI,"A6 Avant  (Standard, SE & Sport)",2.0 (130 bhp),M5,1984,Petrol,12.1,6.6,8.5,23.3,42.8,33.2,204,592,IV,74.0,0.560,,0.073,0.036
AUDI,"A6 Avant  (Standard, SE & Sport)",2.0 Multitronic (130 bhp),AV,1984,Petrol,11.4,6.8,8.5,24.8,41.5,33.2,204,592,IV,74.0,0.462,,0.080,0.035
AUDI,"A6 Avant  (Standard, SE & Sport)",2.4 V6 (170 bhp),M5,2393,Petrol,14.2,7.7,10.1,19.9,36.7,28.0,242,701,IV,72.0,0.229,,0.047,0.036
AUDI,"A6 Avant  (Standard, SE & Sport)",2.4 V6 Multitronic (170 bhp),AV,2393,Petrol,14.4,7.2,9.8,19.6,39.2,28.8,235,682,IV,73.0,0.274,,0.050,0.035
AUDI,"A6 Avant  (Standard, SE & Sport)",2.4 V6 Quattro (170 bhp),QM5,2393,Petrol,15.3,8.4,11.0,18.5,33.6,25.7,264,764,IV,73.0,0.257,,0.044,0.026
AUDI,"A6 Avant  (Standard, SE & Sport)",2.4 V6 Quattro Tiptronic (170 bhp),QA5,2393,Petrol,16.5,8.3,11.4,17.1,34.0,24.8,274,792,IV,73.0,0.184,,0.049,0.037
AUDI,A6 Avant  (SE & Sport),4.2 V8 Sport & Quattro (300 bhp),QA5,4172,Petrol,19.5,9.6,13.2,14.5,29.4,21.4,317,918,IV,74.0,0.419,,0.058,0.038
AUDI,A6 Avant  (SE & Sport),3.0 V6 Quattro (220 bhp),QM5,2976,Petrol,16.1,8.7,11.4,17.5,32.5,24.8,274,792,IV,74.0,0.508,,0.032,0.028
AUDI,A6 Avant  (SE & Sport),3.0 V6 Quattro Tiptronic (220 bhp),QA5,2976,Petrol,16.8,8.5,11.5,16.8,33.2,24.6,276,798,IV,73.0,0.348,,0.035,0.047
AUDI,Audi A8 (Standard & Sport)(available until 10/02),2.8 V6 Quattro Tiptronic (194 bhp),QA5,2772,Petrol,17.6,8.6,11.9,16.1,32.8,23.7,286,829,IV,72.0,0.330,,0.064,0.031
AUDI,Audi A8 (Standard & Sport)(available until 10/02),3.7 V8 Quattro Tiptronic (260 bhp),QA5,3697,Petrol,18.4,9.0,12.4,15.4,31.4,22.8,298,861,IV,73.0,0.665,,0.070,0.018
AUDI,Audi A8 (Standard & Sport)(available until 10/02),4.2 V8 Quattro (310 bhp),QA5,4172,Petrol,19.7,9.3,13.1,14.3,30.4,21.6,314,909,IV,74.0,0.380,,0.054,0.055
AUDI,Audi A8 (Standard & Sport)(available until 10/02),4.2 V8 Quattro Tiptronic (LWB) (310 bhp),QA5,4172,Petrol,19.7,9.3,13.1,14.3,30.4,21.6,314,909,IV,74.0,0.380,,0.054,0.055
AUDI,Audi Cabriolet,2.4 V6 (170 bhp),M5,2393,Petrol,13.9,7.5,9.8,20.3,37.7,28.8,235,682,IV,72.0,0.367,,0.046,0.018
AUDI,Audi Cabriolet,2.4 V6 (170 bhp) Multitronic,AV,2393,Petrol,13.7,7.5,9.7,20.6,37.7,29.1,233,675,IV,71.0,0.334,,0.052,0.032
AUDI,Audi Cabriolet,3.0 V6 (220 bhp) ,M5,2976,Petrol,14.0,7.5,9.8,20.2,37.7,28.8,235,682,IV,71.0,0.129,,0.027,0.038
AUDI,Audi Cabriolet,3.0 V6 (220 bhp) Multitronic,AV,2976,Petrol,13.9,7.4,9.8,20.3,38.2,28.8,235,682,IV,72.0,0.430,,0.065,0.030
DAIHATSU,YRV,M201 1.3 Efi (From VIN 512165),5MT,1298,Petrol,7.8,5.1,6.1,36.2,55.4,46.3,145,424,IV,70.4,0.487,0.055,0.049,0.006
FIAT,Stilo Range,1.2 16v Active 3 door,M6,1242,Petrol,7.9,5.3,6.3,35.8,53.3,44.8,149,438,IV,73.5,0.198,,0.014,0.022
FIAT,Stilo Range,1.2 16v Active 5 door,M6,1242,Petrol,8.3,5.5,6.5,34.0,51.4,43.5,155,451,IV,73.5,0.198,,0.014,0.022
FIAT,Stilo Range,1.6 16v Active and Dynamic 3 door,M5,1596,Petrol,10.1,5.7,7.3,28.0,49.6,38.7,173,507,IV,72.0,0.490,,0.070,0.050
FIAT,Stilo Range,1.6 16v Active 5 door,M5,1596,Petrol,10.3,5.8,7.4,27.4,48.7,38.2,176,514,IV,72.0,0.490,,0.070,0.050
FIAT,Stilo Range,1.6 16v Dynamic 5 door,M5,1596,Petrol,10.5,5.8,7.5,26.9,48.7,37.7,179,521,IV,72.0,0.490,,0.070,0.050
FIAT,Stilo Range,1.8 16v Dynamic 3 door,M5,1747,Petrol,11.3,6.1,8.0,25.0,46.3,35.3,190,556,IV,72.0,0.274,,0.038,0.043
FIAT,Stilo Range,1.8 16v Dynamic 5 door,M5,1747,Petrol,11.5,6.2,8.1,24.6,45.6,34.9,194,563,IV,72.0,0.274,,0.038,0.043
FORD,Fiesta,1.25i 16V (14 inch tyre),M5,1242,Petrol,8.8,5.7,6.9,32.1,49.6,40.9,161,480,IV,69.0,0.296,,0.054,0.061
FORD,Fiesta,1.6i 16V,M5,1596,Petrol,9.5,6.0,7.3,29.7,47.1,38.7,171,507,IV,71.0,0.533,,0.073,0.032
FORD,New Fiesta,1.6i 16V (14 inch tyre),M5,1596,Petrol,9.1,5.2,6.6,31.0,54.3,42.8,157,459,IV,71.0,0.535,,0.054,0.029
FORD,New Fiesta,1.6i 16V (15/16 inch tyre),M5,1596,Petrol,9.4,5.4,6.9,30.1,52.3,40.9,164,480,IV,71.0,0.535,,0.054,0.029
FORD,Fusion,1.6i Fusion 1,M5,1596,Petrol,9.0,5.3,6.6,31.4,53.3,42.8,157,459,IV,71.0,0.584,,0.054,0.038
FORD,Fusion,1.6i Fusion 2 & 3,M5,1596,Petrol,9.0,5.4,6.7,31.4,52.3,42.2,160,465,IV,71.0,0.584,,0.054,0.038
FORD,Puma,1.6i 16V,M5,1596,Petrol,9.5,6.0,7.3,29.7,47.1,38.7,171,507,IV,70.0,0.200,,0.037,0.023
FORD,Focus,2.0i 16V 4 Door Saloon (15 inch tyre),A4,1988,Petrol,13.0,7.3,9.4,21.7,38.7,30.1,222,652,IV,72.0,0.698,,0.056,0.058
FORD,Focus,2.0i 16V 5 Door Saloon/Estate (15 inch tyre),A4,1988,Petrol,13.1,7.3,9.4,21.6,38.7,30.1,222,652,IV,72.0,0.698,,0.056,0.058
FORD,Focus,2.0i 16V ST170 3/5 Door Saloon,M6,1988,Petrol,12.4,7.2,9.1,22.8,39.2,31.0,218,634,IV,73.0,0.148,,0.051,0.060
FORD,New Mondeo,2.0i 16V 4/5 Door Saloon,A4,1999,Petrol,12.6,7.2,9.1,22.4,39.2,31.0,219,634,IV,70.0,0.120,,0.070,0.050
FORD,New Mondeo,2.0i 16V Estate LX/Zetec,A4,1999,Petrol,12.6,7.3,9.2,22.4,38.7,30.7,221,640,IV,70.0,0.120,,0.070,0.050
FORD,New Mondeo,2.0i 16V Estate Ghia/Ghia X,A4,1999,Petrol,12.7,7.4,9.3,22.2,38.2,30.4,223,646,IV,70.0,0.120,,0.070,0.050
FORD,New Mondeo,2.0i 16V 4/5 Door Saloon (18 inch tyre),A4,1999,Petrol,12.9,7.5,9.4,21.9,37.7,30.1,226,652,IV,70.0,0.120,,0.070,0.050
FORD,New Mondeo,2.0i 16V Estate Zetec (18 inch tyre),A4,1999,Petrol,12.9,7.6,9.5,21.9,37.2,29.7,228,661,IV,70.0,0.120,,0.070,0.050
FORD,New Mondeo,2.5 V6 4/5 Door Saloon Ghia X,M5,2495,Petrol,14.3,7.3,9.9,19.8,38.7,28.5,238,689,IV,71.0,0.174,,0.059,0.019
FORD,New Mondeo,2.5 V6  Estate Ghia X,M5,2495,Petrol,14.4,7.4,10.0,19.6,38.2,28.2,240,696,IV,71.0,0.174,,0.059,0.019
FORD,New Mondeo,2.5 V6 4/5 Door Saloon Zetec S,M5,2495,Petrol,14.5,7.5,10.1,19.5,37.7,28.0,242,701,IV,71.0,0.174,,0.059,0.019
FORD,New Mondeo,2.5 V6 Estate Zetec S,M5,2495,Petrol,14.7,7.7,10.3,19.2,36.7,27.4,247,717,IV,71.0,0.174,,0.059,0.019
FORD,New Mondeo,2.5 V6 4/5 Door Saloon Ghia X,A5,2495,Petrol,15.2,7.5,10.3,18.6,37.7,27.4,244,717,IV,73.0,0.166,,0.091,0.027
FORD,New Mondeo,2.5 V6 Estate Ghia X,A5,2495,Petrol,15.5,7.7,10.5,18.2,36.7,26.9,250,730,IV,73.0,0.166,,0.091,0.027
FORD,New Mondeo,2.5 V6 Zetec S,A5,2495,Petrol,15.6,7.9,10.7,18.1,35.8,26.4,254,744,IV,73.0,0.166,,0.091,0.027
FORD,New Mondeo,3.0 V6 ST220 4/5 Door Saloon,M5,2967,Petrol,14.3,7.9,10.2,19.8,35.8,27.7,245,709,IV,73.0,0.236,,0.035,0.053
FORD,New Mondeo,3.0 V6 ST220 Estate,M5,2967,Petrol,14.4,8.0,10.3,19.6,35.3,27.4,247,717,IV,73.0,0.236,,0.035,0.053
FORD,New Galaxy,2.8i CD-V6,M6,2792,Petrol,14.8,8.5,10.8,19.1,33.2,26.2,259,750,IV,73.0,0.280,,0.071,0.059
FORD,New Galaxy,2.8i CD-V6,A5,2792,Petrol,16.8,9.2,12.0,16.8,30.7,23.5,288,836,IV,73.0,0.449,,0.061,0.016
FORD,New Galaxy,2.3i 16V,M5,2295,Petrol,14.0,7.8,10.1,20.2,36.2,28.0,242,701,IV,73.0,0.352,,0.054,0.031
FORD,New Galaxy,2.3i 16V ,A4,2295,Petrol,15.1,8.6,11.0,18.7,32.8,25.7,264,764,IV,71.0,0.137,,0.061,0.032
JAGUAR CARS,Jaguar X Type,2.5,A5,2497,Petrol,15.0,7.6,10.3,18.9,37.3,27.5,244,714,IV,71.0,0.560,,0.037,0.002
JAGUAR CARS,Jaguar X Type,2.5,M5,2497,Petrol,13.6,7.2,9.6,20.7,39.0,29.5,234,666,IV,74.0,0.222,,0.037,0.004
JAGUAR CARS,Jaguar X Type,3.0,A5,2967,Petrol,15.1,7.8,10.5,18.7,36.4,27.0,249,727,IV,72.0,0.308,,0.051,0.009
JAGUAR CARS,Jaguar X Type,3.0,M5,2967,Petrol,14.8,7.7,10.3,19.1,36.8,27.5,244,714,IV,74.0,0.370,,0.046,0.021
LAMBORGHINI,Diablo Model Year 2001,132,M5,5992,Petrol,34.7,14.2,21.8,8.1,19.9,13.0,520,,IV,74.0,*,,*,*
LAMBORGHINI,Diablo Model Year 2002,132 SE,M5,5992,Petrol,34.7,14.2,21.8,8.1,19.9,13.0,520,,IV,74.0,*,,*,*
LAMBORGHINI,Diablo Model Year 2003,Roadster L144,M5,5992,Petrol,34.7,14.2,21.8,8.1,19.9,13.0,520,,IV,74.0,*,,*,*
LEXUS,GS,GS430,A5,4293,Petrol,17.3,9.4,12.3,16.3,30.1,23.0,296,854,IV,71.0,0.112,,0.041,0.051
LEXUS,LS,LS430,A5,4293,Petrol,17.5,8.9,12.0,16.1,31.7,23.5,289,836,IV,72.0,0.230,,0.040,0.020
LEXUS,SC,SC430,A5,4293,Petrol,17.2,9.0,12.0,16.4,31.4,23.5,287,836,IV,71.5,0.020,,0.040,0.030
MITSUBISHI,Colt Space Star,1.3 CLASSIC,M5,1299,Petrol,8.8,5.7,6.8,32.1,49.6,41.5,162,473,IV,73.0,0.230,,0.031,0.007
MITSUBISHI,Colt Space Star,1.3 MIRAGE,M5,1299,Petrol,8.8,5.7,6.8,32.1,49.6,41.5,162,473,IV,73.0,0.230,,0.031,0.007
MITSUBISHI,Colt Space Star,1.6 EQUIPPE,M5,1584,Petrol,9.3,6.0,7.2,30.4,47.2,39.2,171,501,IV,72.0,0.336,,0.044,0.010
MITSUBISHI,Colt Space Star,1.6 MIRAGE,M5,1584,Petrol,9.3,6.0,7.2,30.4,47.2,39.2,171,501,IV,72.0,0.336,,0.044,0.010
MITSUBISHI,Colt Space Star,1.6 EQUIPPE,A4,1584,Petrol,10.7,6.6,8.2,26.4,42.8,34.4,192,571,IV,73.0,0.275,,0.049,0.013
RENAULT,Avantime (all versions and trim levels),3.0 V6 24V From VIN DE0T06,M6,2946,Petrol,15.9,8.9,11.3,17.8,31.8,25.0,266,786,IV,72.8,0.728,,0.084,0.022
PROTON,Impian,1600,M5,1584,Petrol,9.0,5.4,6.7,31.4,52.5,42.2,161,465,IV,73.0,0.600,,0.010,0.011
PROTON,Impian,1600 X,M5,1584,Petrol,9.0,5.4,6.7,31.4,52.5,42.2,161,465,IV,73.0,0.600,,0.010,0.011
SEAT,Arosa,1.0 (50 bhp),M5,999,Petrol,7.8,4.7,5.8,36.2,60.1,48.7,139,403,IV,73.0,0.272,,0.042,0.046
SEAT,Arosa,1.4  MPI Auto (60 bhp),A4,1390,Petrol,10.0,6.1,7.5,28.2,46.3,37.7,180,521,IV,74.0,0.395,,0.066,0.011
SEAT,Arosa,1.4 16v Sport (100 bhp),M5,1390,Petrol,9.4,5.2,6.7,30.1,54.3,42.2,161,465,IV,73.0,0.677,,0.083,0.035
SEAT,New Ibiza (available from May 2002),1.2 (64 bhp),M5,1198,Petrol,7.7,5.1,6.0,36.7,55.4,47.1,144,417,IV,72.0,0.520,0.064,0.034,0.030
SEAT,New Ibiza (available from May 2002),1.4 16V (75 bhp),M5,1390,Petrol,8.9,5.3,6.5,31.7,53.3,43.5,156,451,IV,71.0,0.170,0.122,0.075,0.047
SEAT,New Ibiza (available from May 2002),1.4 16v (100 bhp),M5,1390,Petrol,9.5,5.6,7.0,29.7,50.4,40.4,168,486,IV,70.0,0.310,0.097,0.066,0.031
SEAT,Ibiza,1.4 (60 bhp),M5,1390,Petrol,9.0,5.4,6.7,31.4,52.3,42.2,161,465,IV,70.0,0.299,0.060,0.038,0.022
SEAT,Ibiza,1.6 (100 bhp),M5,1595,Petrol,11.0,6.1,7.9,25.7,46.3,35.8,190,549,IV,73.0,0.592,0.119,0.061,0.058
SEAT,Leon,1.4 16V (75 bhp),M5,1390,Petrol,9.1,5.5,6.8,31.0,51.4,41.5,163,473,IV,72.0,0.121,,0.040,0.074
SEAT,Leon,1.6 16V (105 bhp),M5,1598,Petrol,9.6,5.7,7.1,29.4,49.6,39.8,170,493,IV,71.0,0.353,,0.061,0.032
SEAT,Leon,1.8 Cupra 20VT (180 bhp),M6,1781,Petrol,11.8,6.6,8.5,23.9,42.8,33.2,204,592,IV,73.0,0.679,,0.060,0.043
SEAT,Toledo,V5 (170 bhp),M5,2324,Petrol,12.5,6.7,8.8,22.6,42.2,32.1,211,612,IV,73.0,0.460,,0.058,0.048
SEAT,Alhambra,2.0  (115 bhp),M6,1984,Petrol,13.0,7.6,9.6,21.7,37.2,29.4,230,668,IV,74.0,0.814,,0.067,0.070
SEAT,Alhambra,1.8 20V Turbo (150 bhp),M6,1781,Petrol,13.1,7.4,9.5,21.6,38.2,29.7,228,661,IV,74.0,0.545,,0.061,0.017
SEAT,Alhambra,1.8 20V Turbo Tiptronic (150 bhp),A5,1781,Petrol,14.5,8.4,10.6,19.5,33.6,26.6,254,738,IV,70.0,0.348,,0.091,0.050
SEAT,Alhambra,2.8 V6 Sport (204 bhp),M6,2792,Petrol,14.8,8.5,10.8,19.1,33.2,26.2,259,750,IV,73.0,0.280,,0.071,0.059
SKODA,Fabia Hatch,Classic 1.4 MPI (68 bhp),M5,1397,Petrol,9.8,5.6,7.2,28.8,50.4,39.2,173,501,IV,72.0,0.772,,0.084,0.049
SKODA,Fabia Hatch,Classic 1.4 16V (100 bhp),M5,1390,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,170,493,IV,73.0,0.615,,0.089,0.020
