Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
SKODA,Fabia Hatch,Comfort 1.4 MPI (68 bhp),M5,1397,Petrol,9.8,5.6,7.2,28.8,50.4,39.2,173,501,IV,72.0,0.772,,0.084,0.049
SKODA,Fabia Hatch,Comfort 1.4 16V (75 bhp),A4,1390,Petrol,10.3,5.9,7.5,27.4,47.9,37.7,180,521,IV,72.0,0.199,,0.080,0.055
SKODA,Fabia Hatch,Comfort 1.4 16V (100 bhp),M5,1390,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,170,493,IV,73.0,0.615,,0.089,0.020
SKODA,Fabia Hatch,Elegance 1.4 16V (75 bhp),A4,1390,Petrol,10.3,5.9,7.5,27.4,47.9,37.7,180,521,IV,72.0,0.199,,0.080,0.055
SKODA,Fabia Hatch,Elegance 1.4 16V (100 bhp),M5,1390,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,170,493,IV,73.0,0.615,,0.089,0.020
SKODA,Fabia Hatch,Elegance 2.0 MPI (115 bhp),M5,1984,Petrol,10.9,5.9,7.7,25.9,47.9,36.7,185,535,IV,74.0,0.634,,0.055,0.046
SKODA,Fabia Estate,Classic 1.4 MPI (68 bhp),M5,1397,Petrol,9.8,5.6,7.2,28.8,50.4,39.2,173,501,IV,72.0,0.772,,0.084,0.049
SKODA,Fabia Estate,Classic 1.4 16V (100 bhp),M5,1390,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,170,493,IV,73.0,0.615,,0.089,0.020
SKODA,Fabia Estate,Comfort 1.4 MPI (68 bhp),M5,1397,Petrol,9.8,5.6,7.2,28.8,50.4,39.2,173,501,IV,72.0,0.772,,0.084,0.049
SKODA,Fabia Estate,Comfort 1.4 16V (75 bhp),A4,1390,Petrol,10.4,6.0,7.6,27.2,47.1,37.2,182,528,IV,72.0,0.199,,0.080,0.055
SKODA,Fabia Estate,Comfort 1.4 16V (100 bhp),M5,1390,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,170,493,IV,73.0,0.615,,0.089,0.020
SKODA,Fabia Estate,Elegance 1.4 16V (100 bhp),M5,1390,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,170,493,IV,73.0,0.615,,0.089,0.020
SKODA,Fabia Estate,Elegance 2.0 MPI (115 bhp),M5,1984,Petrol,11.0,6.0,7.8,25.7,47.1,36.2,187,543,IV,73.0,0.634,,0.055,0.046
SKODA,Fabia Estate,Elegance 1.4 16V (75 bhp),A4,1390,Petrol,10.4,6.0,7.6,27.2,47.1,37.2,182,528,IV,72.0,0.199,,0.080,0.055
SKODA,Fabia Saloon,1.4 16V (75 bhp),A4,1390,Petrol,10.4,6.0,7.6,27.2,47.1,37.2,182,528,IV,71.0,0.199,,0.080,0.065
SKODA,Fabia Saloon,1.4 16V (100 bhp),M5,1390,Petrol,9.7,5.6,7.1,29.1,50.4,39.8,170,493,IV,73.0,0.615,,0.089,0.020
SKODA,Octavia Hatch,Classic 1.4 MPI 16V (75 bhp),M5,1390,Petrol,9.1,5.5,6.8,31.0,51.4,41.5,163,473,IV,71.0,0.121,,0.074,0.040
SKODA,Octavia Hatch,Classic 1.6 MPI (102 bhp),M5,1595,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,173,501,IV,72.0,0.718,,0.053,0.033
SKODA,Octavia Hatch,Ambiente 1.6 MPI (102 bhp),M5,1595,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,173,501,IV,72.0,0.718,,0.053,0.033
SKODA,Octavia Hatch,Ambiente 2.0 MPI (115 bhp) (available from Jan 02),A4,1984,Petrol,13.0,7.1,9.2,21.7,39.8,30.7,221,640,IV,73.0,0.352,,0.025,0.022
SKODA,Octavia Hatch,Ambiente 2.0 MPI (115 bhp),M5,1984,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,194,563,IV,73.0,0.795,,0.068,0.029
SKODA,Octavia Hatch,Elegance 2.0 MPI (115 bhp) (available from Jan 02),A4,1984,Petrol,13.0,7.1,9.2,21.7,39.8,30.7,221,640,IV,72.0,0.352,,0.025,0.022
SKODA,Octavia Hatch,Elegance 2.0 MPI (115 bhp),M5,1984,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,194,563,IV,73.0,0.795,,0.068,0.029
SKODA,Octavia Hatch,Elegance 2.0 MPI (115 bhp) (available from Jan 02),M5,1984,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,194,563,IV,72.0,0.245,,0.014,0.020
SKODA,Octavia Hatch,Elegance 1.8 20v Turbo (150 bhp),M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,556,IV,71.0,0.667,,0.054,0.030
SKODA,Octavia Hatch,Elegance 1.8 20v Turbo (150 bhp),A4,1781,Petrol,12.9,7.0,9.1,21.9,40.4,31.0,218,634,IV,71.0,0.775,,0.051,0.026
SKODA,Octavia Hatch,RS 1.8 20v Turbo (180 bhp),M5,1781,Petrol,10.8,6.4,8.0,26.2,44.1,35.3,192,556,IV,72.0,0.775,,0.065,0.019
SKODA,Octavia Hatch,Laurin & Klement 1.8 20v Turbo (150 bhp),M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,556,IV,71.0,0.667,,0.054,0.030
SKODA,Octavia Hatch,Laurin & Klement 1.8 20v Turbo (150 bhp),A4,1781,Petrol,12.9,7.0,9.1,21.9,40.4,31.0,218,634,IV,71.0,0.775,,0.051,0.026
SKODA,Octavia Estate,Classic 1.6 MPI (102 bhp),M5,1595,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,173,501,IV,72.0,0.718,,0.053,0.033
SKODA,Octavia Estate,Ambiente 1.6 MPI (102 bhp),M5,1595,Petrol,10.0,5.6,7.2,28.2,50.4,39.2,173,501,IV,72.0,0.718,,0.053,0.033
SKODA,Octavia Estate,Ambiente 2.0 MPI (115 bhp),M5,1984,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,194,563,IV,73.0,0.795,,0.068,0.029
SKODA,Octavia Estate,Ambiente 2.0 MPI (115 bhp) (available from Jan 02),M5,1984,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,194,563,IV,72.0,0.245,,0.014,0.020
SKODA,Octavia Estate,Ambiente 2.0 MPI (115 bhp) (available from Jan 02),A4,1984,Petrol,13.0,7.1,9.2,21.7,39.8,30.7,221,640,IV,72.0,0.352,,0.025,0.022
SKODA,Octavia Estate,Elegance 2.0 MPI (115 bhp),M5,1984,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,194,563,IV,73.0,0.795,,0.068,0.029
SKODA,Octavia Estate,Elegance 2.0 MPI (115 bhp) (available from Jan 02),A4,1984,Petrol,13.0,7.1,9.2,21.7,39.8,30.7,221,640,IV,72.0,0.352,,0.025,0.022
SKODA,Octavia Estate,Elegance 2.0 MPI (115 bhp) (available from Jan 02),M5,1984,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,194,563,IV,72.0,0.245,,0.014,0.020
SKODA,Octavia Estate,Elegance 1.8 20v Turbo (150 bhp),M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,556,IV,71.0,0.667,,0.054,0.030
SKODA,Octavia Estate,Elegance 1.8 20v Turbo (150 bhp),A4,1781,Petrol,13.0,7.1,9.2,21.7,39.8,30.7,221,640,IV,71.0,0.775,,0.051,0.026
SKODA,Octavia Estate,Laurin & Klement 1.8 20v Turbo (150 bhp),M5,1781,Petrol,10.8,6.3,8.0,26.2,44.8,35.3,192,556,IV,71.0,0.667,,0.054,0.030
SKODA,Octavia Estate,Laurin & Klement 1.8 20v Turbo (150 bhp),A4,1781,Petrol,13.0,7.1,9.2,21.7,39.8,30.7,221,640,IV,71.0,0.775,,0.051,0.026
SKODA,Superb,Classic 2.0 115 bhp ,M5,1984,Petrol,12.1,6.6,8.6,23.3,42.8,32.8,206,599,IV,73.0,0.337,,0.023,0.016
SKODA,Superb,Classic 2.8 V6 193 bhp ,M5,2771,Petrol,14.4,7.4,10.0,19.6,38.2,28.2,240,696,IV,74.0,0.422,,0.035,0.029
SKODA,Superb,Comfort 1.8 T 150 bhp ,M5,1781,Petrol,11.5,6.5,8.3,24.6,43.5,34.0,202,578,IV,73.0,0.350,,0.032,0.037
SKODA,Superb,Elegance 2.8 V6 193 bhp ,M5,2771,Petrol,14.4,7.4,10.0,19.6,38.2,28.2,240,696,IV,74.0,0.422,,0.035,0.029
SKODA,Superb,Elegance 2.8 V6 193 bhp ,A5,2771,Petrol,16.0,7.9,10.9,17.7,35.8,25.9,262,758,IV,74.0,0.389,,0.038,0.023
TOYOTA,Avensis,1.8 VVT-i Saloon/Liftback,M5,1794,Petrol,9.9,6.0,7.4,28.5,47.1,38.2,176,514,IV,73.0,0.540,,0.040,0.020
TOYOTA,Avensis,1.8 VVT-i Saloon,A4,1794,Petrol,11.0,6.4,8.1,25.7,44.1,34.9,194,563,IV,71.0,0.390,,0.060,0.010
TOYOTA,Avensis,1.8 VVT-i Liftback,A4,1794,Petrol,11.2,6.5,8.3,25.2,43.5,34.0,197,578,IV,71.0,0.390,,0.060,0.010
TOYOTA,Avensis,1.8 VVT-i Estate,M5,1794,Petrol,10.0,6.2,7.6,28.2,45.6,37.2,182,528,IV,73.0,0.540,,0.040,0.020
TOYOTA,Corolla,1.4 VVT-i 3 & 5 door,M5,1398,Petrol,8.4,5.7,6.7,33.6,49.6,42.2,159,465,IV,70.0,0.470,,0.070,0.020
TOYOTA,Corolla,1.4 VVT-i 4 door,M5,1398,Petrol,8.4,5.7,6.7,33.6,49.6,42.2,159,465,IV,70.0,0.470,,0.070,0.020
TOYOTA,Corolla,1.6 VVT-i 3 & 5 door,M5,1598,Petrol,9.0,5.9,7.0,31.4,47.9,40.4,168,486,IV,71.0,0.550,,0.060,0.030
TOYOTA,Corolla,1.6 VVT-i 3 & 5 door,A4,1598,Petrol,10.6,6.4,7.9,26.6,44.1,35.8,190,549,IV,70.0,0.450,,0.050,0.020
TOYOTA,Corolla,1.6 VVT-i 4 door,M5,1598,Petrol,9.0,5.9,7.0,31.4,47.9,40.4,168,486,IV,70.0,0.550,,0.060,0.030
TOYOTA,Corolla,1.6 VVT-i 4 door,A4,1598,Petrol,10.5,6.3,7.8,26.9,44.8,36.2,188,543,IV,70.0,0.450,,0.050,0.020
TOYOTA,Corolla,1.6 VVT-I Estate,M5,1598,Petrol,9.2,6.0,7.2,30.7,47.1,39.2,172,501,IV,71.0,0.550,,0.060,0.030
TOYOTA,Corolla,Verso 1.6 VVT-I,M5,1598,Petrol,9.4,6.2,7.3,30.1,45.6,38.7,174,507,IV,70.0,0.560,,0.060,0.030
TOYOTA,Prius,1.5 VVT-I Hybrid,Hybrid,1497,Pet Hybrid,5.9,4.6,5.1,47.9,61.4,55.4,120,354,IV,71.0,0.630,,0.050,0.050
VAUXHALL,"Agila, Model Year 2001",1.0i 12v,M5,973,Petrol,7.5,5.6,6.3,37.7,50.4,44.8,151,438,IV,72.0,0.403,0.115,0.064,0.051
VAUXHALL,"Agila, Model Year 2001",1.2i 16v,M5,1199,Petrol,8.0,5.7,6.5,35.3,49.6,43.5,156,451,IV,73.0,0.348,0.087,0.055,0.032
VAUXHALL,"Agila, Model Year 2001",1.0i 12v,M5,973,Petrol,7.7,5.6,6.4,36.7,50.4,44.1,154,445,IV,72.0,0.403,,0.064,0.051
VAUXHALL,"Agila, Model Year 2001",1.2i 16v,M5,1199,Petrol,8.0,5.7,6.5,35.3,49.6,43.5,156,451,IV,73.0,0.348,,0.055,0.032
VAUXHALL,"Corsa, Model Year 2002",1.0 12v,M5,973,Petrol,7.2,4.7,5.6,39.2,60.1,50.4,135,390,IV,71.0,0.342,,0.060,0.048
VAUXHALL,"Corsa, Model Year 2002","1.2i 16v FDR=3,74",M5,1199,Petrol,8.2,5.2,6.3,34.4,54.3,44.8,151,438,IV,71.0,0.211,,0.052,0.031
VAUXHALL,"Corsa, Model Year 2002","1.2i 16v FDR=3,94",M5,1199,Petrol,8.4,5.3,6.4,33.6,53.3,44.1,154,445,IV,72.0,0.211,,0.052,0.031
VAUXHALL,"Corsa, Model Year 2002",1.2i 16v,MTA,1199,Petrol,8.0,5.2,6.2,35.3,54.3,45.6,149,431,IV,73.0,0.253,,0.054,0.029
VAUXHALL,"Corsa, Model Year 2002",1.4i 16v,M5,1389,Petrol,9.8,5.7,7.2,28.8,49.6,39.2,173,501,IV,72.0,0.371,,0.045,0.026
VAUXHALL,"Corsa, Model Year 2002",1.4i 16v (3 door),MTA,1389,Petrol,11.2,6.0,7.9,25.2,47.1,35.8,190,549,IV,72.0,0.287,,0.065,0.057
VAUXHALL,"Corsa, Model Year 2002",1.4i 16v (5 door),MTA,1389,Petrol,11.3,6.1,8.0,25.0,46.3,35.3,192,556,IV,72.0,0.287,,0.065,0.057
VAUXHALL,"Corsa, Model Year 2002",1.8i 16v,M5,1796,Petrol,11.2,6.0,7.9,25.2,47.1,35.8,190,549,IV,74.0,0.657,,0.047,0.011
VAUXHALL,"Astra, Model Year 2001",1.4i 16v Estate,M5,1389,Petrol,9.9,6.1,7.5,28.5,46.3,37.7,180,521,IV,73.0,0.247,0.117,0.094,0.023
VAUXHALL,"Astra, Model Year 2001",1.4i 16v Hatch,M5,1389,Petrol,9.7,5.8,7.2,29.1,48.7,39.2,173,501,IV,73.0,0.247,0.117,0.094,0.023
VAUXHALL,"Astra, Model Year 2001",1.6i Estate,M5,1598,Petrol,9.8,5.8,7.3,28.8,48.7,38.7,175,507,IV,72.0,0.695,0.073,0.054,0.019
VAUXHALL,"Astra, Model Year 2001",1.6i Estate,A4,1598,Petrol,11.4,6.6,8.4,24.8,42.8,33.6,201,584,IV,71.0,0.357,0.073,0.044,0.029
VAUXHALL,"Astra, Model Year 2001",1.6i 16v Estate,M5,1598,Petrol,9.7,5.8,7.2,29.1,48.7,39.2,172,501,IV,72.0,0.219,0.063,0.037,0.026
VAUXHALL,"Astra, Model Year 2001",1.6i 16v Estate,A4,1598,Petrol,10.7,6.2,7.9,26.4,45.6,35.8,190,549,IV,72.0,0.318,0.085,0.044,0.041
VAUXHALL,"Astra, Model Year 2001",1.6i Hatch/Saloon,M5,1598,Petrol,9.6,5.6,7.1,29.4,50.4,39.8,171,493,IV,72.0,0.695,0.073,0.054,0.019
VAUXHALL,"Astra, Model Year 2001",1.6i 3 Door Hatch,A4,1598,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,195,563,IV,71.0,0.357,0.073,0.044,0.029
VAUXHALL,"Astra, Model Year 2001",1.6i 5 Door Hatch/Saloon,A4,1598,Petrol,11.3,6.4,8.2,25.0,44.1,34.4,197,571,IV,71.0,0.357,0.073,0.044,0.029
VAUXHALL,"Astra, Model Year 2001",1.6i 16v 3 Door Hatch,M5,1598,Petrol,9.5,5.5,7.0,29.7,51.4,40.4,168,486,IV,72.0,0.487,0.056,0.030,0.026
VAUXHALL,"Astra, Model Year 2001",1.6i 16v 5 Door Hatch/Saloon,M5,1598,Petrol,9.6,5.6,7.1,29.4,50.4,39.8,171,493,IV,72.0,0.695,0.073,0.054,0.019
VAUXHALL,"Astra, Model Year 2001",1.6i 16v Hatch/Saloon,A4,1598,Petrol,10.6,6.0,7.7,26.6,47.1,36.7,185,535,IV,72.0,0.318,0.085,0.044,0.041
VAUXHALL,"Astra, Model Year 2001",1.8i 16v Estate,M5,1796,Petrol,11.1,6.2,8.0,25.4,45.6,35.3,192,556,IV,73.0,0.627,0.043,0.035,0.008
VAUXHALL,"Astra, Model Year 2001",1.8i 16v Estate,A4,1796,Petrol,12.1,6.8,8.8,23.3,41.5,32.1,211,612,IV,71.0,0.486,0.050,0.037,0.013
VAUXHALL,"Astra, Model Year 2001",1.8i 16v Hatch/Saloon,M5,1796,Petrol,11.0,6.0,7.8,25.7,47.1,36.2,187,543,IV,73.0,0.627,0.043,0.035,0.008
VAUXHALL,"Astra, Model Year 2001",1.8i 16v Hatch/Saloon,A4,1796,Petrol,12.0,6.6,8.6,23.5,42.8,32.8,207,599,IV,71.0,0.486,0.050,0.037,0.013
VAUXHALL,"Astra, Model Year 2001",2.2i 16v Hatch,M5,2198,Petrol,12.0,6.3,8.4,23.5,44.8,33.6,202,584,IV,74.0,0.755,0.069,0.043,0.026
VAUXHALL,"Astra, Model Year 2002",1.4i 16v (Estate),M5,1389,Petrol,9.9,6.1,7.5,28.5,46.3,37.7,180,521,IV,73.0,0.247,,0.094,0.023
VAUXHALL,"Astra, Model Year 2002",1.4i 16v (Hatchback),M5,1389,Petrol,9.7,5.8,7.2,29.1,48.7,39.2,173,501,IV,73.0,0.247,,0.094,0.023
VAUXHALL,"Astra, Model Year 2002",1.6i 16v (4 & 5 door),A4,1598,Petrol,10.6,6.0,7.7,26.6,47.1,36.7,185,535,IV,72.0,0.318,,0.044,0.041
VAUXHALL,"Astra, Model Year 2002",1.6i 16v (Estate),A4,1598,Petrol,10.7,6.2,7.9,26.4,45.6,35.8,190,549,IV,72.0,0.318,,0.044,0.041
VAUXHALL,"Astra, Model Year 2002",1.6i 8v (3 door),A4,1598,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,195,563,IV,71.0,0.357,,0.044,0.029
VAUXHALL,"Astra, Model Year 2002",1.6i 8v (4 & 5 door),A4,1598,Petrol,11.3,6.4,8.2,25.0,44.1,34.4,197,571,IV,71.0,0.357,,0.044,0.029
VAUXHALL,"Astra, Model Year 2002",1.6i 8v (Estate),A4,1598,Petrol,11.4,6.6,8.4,24.8,42.8,33.6,201,584,IV,71.0,0.357,,0.044,0.029
VAUXHALL,"Astra, Model Year 2002",1.6i 16v (3 door),M5,1598,Petrol,9.5,5.5,7.0,29.7,51.4,40.4,168,486,IV,72.0,0.219,,0.037,0.026
VAUXHALL,"Astra, Model Year 2002",1.6i 16v (4 & 5 door),M5,1598,Petrol,9.6,5.6,7.1,29.4,50.5,39.8,171,493,IV,72.0,0.219,,0.037,0.026
VAUXHALL,"Astra, Model Year 2002",1.6i 16v (Estate),M5,1598,Petrol,9.7,5.8,7.2,29.1,48.7,39.2,172,501,IV,72.0,0.219,,0.037,0.026
VAUXHALL,"Astra, Model Year 2002","1.6i 8v (3, 4 & 5 door)",M5,1598,Petrol,9.6,5.6,7.1,29.4,50.4,39.8,171,493,IV,72.0,0.695,,0.054,0.019
VAUXHALL,"Astra, Model Year 2002",1.6i 8v (Estate),M5,1598,Petrol,9.8,5.8,7.3,28.8,48.7,38.7,175,507,IV,72.0,0.695,,0.054,0.019
VAUXHALL,"Astra, Model Year 2002",1.8i 16v (4 & 5 door),A4,1796,Petrol,12.0,6.6,8.6,23.5,42.8,32.8,207,599,IV,71.0,0.486,,0.037,0.013
VAUXHALL,"Astra, Model Year 2002",1.8i 16v (Estate),A4,1796,Petrol,12.1,6.8,8.8,23.3,41.5,32.1,211,612,IV,71.0,0.486,,0.037,0.013
VAUXHALL,"Astra, Model Year 2002","1.8i 16v (3, 4 & 5 door)",M5,1796,Petrol,11.0,6.1,7.9,25.7,46.3,35.8,190,549,IV,73.0,0.627,,0.035,0.008
VAUXHALL,"Astra, Model Year 2002",1.8i 16v (Estate),M5,1796,Petrol,11.1,6.2,8.0,25.4,45.6,35.3,192,556,IV,73.0,0.627,,0.035,0.008
VAUXHALL,"Astra, Model Year 2002",2.2i 16v,M5,2198,Petrol,12.0,6.3,8.4,23.5,44.8,33.6,202,584,IV,74.0,0.755,,0.043,0.026
VAUXHALL,"Astra Coupé, Model Year 2001",1.8i 16v,M5,1796,Petrol,11.0,6.0,7.8,25.7,47.1,36.2,187,543,IV,73.0,0.627,0.043,0.035,0.008
VAUXHALL,"Astra Coupé, Model Year 2001",2.0i 16v turbo,M5,1998,Petrol,12.5,6.8,8.9,22.6,41.5,31.7,214,620,IV,74.0,0.627,0.043,0.035,0.008
VAUXHALL,"Astra Coupé, Model Year 2001",2.2i 16v,M5,2198,Petrol,12.0,6.3,8.4,23.5,44.8,33.6,202,584,IV,74.0,0.755,0.069,0.043,0.026
VAUXHALL,"Astra Coupé, Model Year 2001",2.2i 16v,A4,2198,Petrol,11.9,6.7,8.6,23.7,42.2,32.8,207,599,IV,73.0,0.522,0.124,0.061,0.063
VAUXHALL,"Astra Convertible, Model Year 2002",1.6i 16v,M5,1598,Petrol,9.9,5.8,7.3,28.5,48.7,38.7,175,507,IV,72.0,0.219,,0.037,0.026
VAUXHALL,"Astra Convertible, Model Year 2002",1.8i 16v,M5,1796,Petrol,11.1,6.2,8.0,25.4,45.6,35.3,192,556,IV,73.0,0.627,,0.035,0.008
VAUXHALL,"Astra Convertible, Model Year 2002",2.0i 16v turbo,M5,1998,Petrol,12.8,7.0,9.1,22.1,40.4,31.0,219,634,IV,73.0,0.179,,0.050,0.038
VAUXHALL,"Astra Convertible, Model Year 2002",2.2i 16v,M5,2198,Petrol,12.3,6.6,8.7,23.0,42.8,32.5,209,604,IV,74.0,0.755,,0.043,0.026
VAUXHALL,"Astra Convertible, Model Year 2002",2.2i 16v,A4,2198,Petrol,12.2,7.0,8.9,23.2,40.4,31.7,214,620,IV,73.0,0.552,,0.061,0.063
VAUXHALL,"Astra Coupé, Model Year 2002",1.8i 16v,M5,1796,Petrol,11.0,6.1,7.9,25.7,46.3,35.8,190,549,IV,73.0,0.627,,0.035,0.008
VAUXHALL,"Astra Coupé, Model Year 2002",2.0i 16v turbo,M5,1998,Petrol,12.5,6.8,8.9,22.6,41.5,31.7,214,620,IV,73.0,0.179,,0.050,0.038
VAUXHALL,"Astra Coupé, Model Year 2002",2.2i 16v,M5,2198,Petrol,12.0,6.3,8.4,23.5,44.8,33.6,202,584,IV,74.0,0.755,,0.043,0.026
VAUXHALL,"Astra Coupé, Model Year 2002",2.2i 16v,A4,2198,Petrol,11.9,6.7,8.6,23.7,42.2,32.8,207,599,IV,73.0,0.552,,0.061,0.063
VAUXHALL,"Omega, Model Year 2001",2.2i 16v Estate,M5,2198,Petrol,14.1,7.3,9.8,20.0,38.7,28.8,236,682,IV,74.0,0.406,0.100,0.064,0.036
VAUXHALL,"Omega, Model Year 2001",2.2i 16v Saloon,M5,2198,Petrol,14.0,7.1,9.6,20.2,39.8,29.4,231,668,IV,74.0,0.406,0.100,0.064,0.036
VAUXHALL,"Vectra, Model Year 2001",1.6i 16v Hatch/Saloon,M5,1598,Petrol,9.8,5.6,7.1,28.8,50.4,39.8,171,493,IV,72.0,0.273,0.062,0.043,0.019
VAUXHALL,"Vectra, Model Year 2001",1.6i 16v Hatch/Saloon,A4,1598,Petrol,11.3,6.2,8.1,25.0,45.6,34.9,195,563,IV,71.0,0.418,0.104,0.038,0.066
VAUXHALL,"Vectra, Model Year 2001",1.8i 16v Estate  (exc. SXi/SRi),M5,1798,Petrol,10.8,6.0,7.8,26.2,47.1,36.2,187,543,IV,72.0,0.784,0.074,0.063,0.011
VAUXHALL,"Vectra, Model Year 2001",1.8i 16v Estate SXi/SRi,M5,1798,Petrol,11.1,6.2,8.0,25.4,45.6,35.3,192,556,IV,72.0,0.503,0.047,0.035,0.012
VAUXHALL,"Vectra, Model Year 2001",1.8i 16v Estate,A4,1798,Petrol,12.2,6.8,8.8,23.2,41.5,32.1,211,612,IV,72.0,0.693,0.082,0.066,0.016
VAUXHALL,"Vectra, Model Year 2001",1.8i 16v Hatch/Saloon (exc. SXi/SRi),M5,1798,Petrol,10.7,5.8,7.6,26.4,48.7,37.2,183,528,IV,72.0,0.784,0.074,0.063,0.011
VAUXHALL,"Vectra, Model Year 2001",1.8i 16v Hatch/Saloon SXi/SRi,M5,1798,Petrol,11.0,6.0,7.8,25.7,47.1,36.2,187,543,IV,72.0,0.503,0.047,0.035,0.012
